# pres  Tmin  Tmax  qmin  qmax
7.070730000000000291e+04 2.614276710165584063e+02 2.647795189966848284e+02 3.594901136239059269e-05 2.818054053932428360e-03
7.048705000000000291e+04 2.612741392990911891e+02 2.645002345319689425e+02 7.592361362185329199e-05 2.761425683274865150e-03
7.026706666666666570e+04 2.611321692585991627e+02 2.647099649389216438e+02 4.081412043888121843e-05 2.819940913468599319e-03
7.004751666666666279e+04 2.609395205588761542e+02 2.646472994802617791e+02 1.506694534327834845e-04 2.813784172758460045e-03
6.982850000000000000e+04 2.607260989761947485e+02 2.640480265822462798e+02 9.951901120075490326e-06 2.681426703929901123e-03
6.961081666666666570e+04 2.605429522112032146e+02 2.638927766704352393e+02 7.826247019693255424e-05 2.653155243024230003e-03
6.939336666666666861e+04 2.603504361318023257e+02 2.638419360616317704e+02 9.951901120075490326e-06 2.648881869390606880e-03
6.917561666666666861e+04 2.601658886186999098e+02 2.635705556616762806e+02 9.951901120075490326e-06 2.596293576061725616e-03
6.895848333333333721e+04 2.599370784789447271e+02 2.636079014673709366e+02 9.951901120075490326e-06 2.612812677398324013e-03
6.874258333333332848e+04 2.597671691343692260e+02 2.634640739685930839e+02 9.951901120075490326e-06 2.587809925898909569e-03
6.852646666666665988e+04 2.595815593865368101e+02 2.634126203964198680e+02 9.951901120075490326e-06 2.582731656730175018e-03
6.831126666666666279e+04 2.593743857539869850e+02 2.629065668247923213e+02 9.951901120075490326e-06 2.479868941009044647e-03
6.809643333333333430e+04 2.591869683946526948e+02 2.627132489787261989e+02 9.951901120075490326e-06 2.443020697683095932e-03
6.788186666666666861e+04 2.589809254407718413e+02 2.624580790331162348e+02 9.951901120075490326e-06 2.395552350208163261e-03
6.766914999999999418e+04 2.587611917445487961e+02 2.623981894552238714e+02 9.951901120075490326e-06 2.390313893556594849e-03
6.745508333333332848e+04 2.585345147823911702e+02 2.621762982016059027e+02 9.951901120075490326e-06 2.351638162508606911e-03
6.724213333333333139e+04 2.583714472780004598e+02 2.619109952002790465e+02 9.951901120075490326e-06 2.301911124959588051e-03
6.703083333333332848e+04 2.581736956301256782e+02 2.616883939948247075e+02 9.951901120075490326e-06 2.262417459860444069e-03
6.681955000000000291e+04 2.579879109625974820e+02 2.615725899709270834e+02 9.951901120075490326e-06 2.245971467345952988e-03
6.660821666666665988e+04 2.577490675892894956e+02 2.615456058772747951e+02 9.951901120075490326e-06 2.248967532068490982e-03
6.639711666666666861e+04 2.575820024819420837e+02 2.612307419513902005e+02 9.951901120075490326e-06 2.191717969253659248e-03
6.618693333333333430e+04 2.573493231768338205e+02 2.613952414057512215e+02 9.951901120075490326e-06 2.232120605185627937e-03
6.597786666666666861e+04 2.571696295107319088e+02 2.611895196532817636e+02 9.951901120075490326e-06 2.197214402258396149e-03
6.576850000000000000e+04 2.569552017964406332e+02 2.608829837788670716e+02 9.951901120075490326e-06 2.142262645065784454e-03
6.555961666666666861e+04 2.567585670469738375e+02 2.606997975595497223e+02 9.951901120075490326e-06 2.111794194206595421e-03
6.535108333333333576e+04 2.565639488889817699e+02 2.606422633963325666e+02 9.951901120075490326e-06 2.107854234054684639e-03
6.514311666666666861e+04 2.563565732132050812e+02 2.603174902730550571e+02 9.951901120075490326e-06 2.050757175311446190e-03
6.493640000000000146e+04 2.561547527448072969e+02 2.606310371749624437e+02 9.951901120075490326e-06 2.119492040947079659e-03
6.472973333333332994e+04 2.559676939297793581e+02 2.601807866113383625e+02 9.951901120075490326e-06 2.036768244579434395e-03
6.452340000000000146e+04 2.557674961574118413e+02 2.595485599994490826e+02 9.951901120075490326e-06 1.924567623063921928e-03
6.431781666666666570e+04 2.555616484695533188e+02 2.594858735349598078e+02 9.951901120075490326e-06 1.920082140713930130e-03
6.411263333333333139e+04 2.553787432050424115e+02 2.591309570056700977e+02 9.951901120075490326e-06 1.862195087596774101e-03
6.390758333333333576e+04 2.550890257236775369e+02 2.590959018202827906e+02 9.951901120075490326e-06 1.861869357526302338e-03
6.370430000000000291e+04 2.549494514880030636e+02 2.588179387081065101e+02 9.951901120075490326e-06 1.816085772588849068e-03
6.350005000000000291e+04 2.547359660946682425e+02 2.586878794113806634e+02 9.951901120075490326e-06 1.799330115318298340e-03
6.329706666666666570e+04 2.545678293227117308e+02 2.584399785176105979e+02 9.951901120075490326e-06 1.762935658916831017e-03
6.309538333333333139e+04 2.543797222546652108e+02 2.581064955949479440e+02 9.951901120075490326e-06 1.710621174424886703e-03
6.289263333333333139e+04 2.541924323979943381e+02 2.581229081610144931e+02 9.951901120075490326e-06 1.718780258670449257e-03
6.269056666666666570e+04 2.539659225091956216e+02 2.578758372857998324e+02 9.951901120075490326e-06 1.679010223597288132e-03
6.248869999999999709e+04 2.537641195263942961e+02 2.578177551956466687e+02 9.951901120075490326e-06 1.642588991671800613e-03
6.228836666666666861e+04 2.535921221292074677e+02 2.581522621479044801e+02 9.951901120075490326e-06 1.670730998739600182e-03
6.208833333333333576e+04 2.533820630441275625e+02 2.576031958208835135e+02 9.951901120075490326e-06 1.645111478865146637e-03
6.188865000000000146e+04 2.531416579762696415e+02 2.577157217975116623e+02 9.951901120075490326e-06 1.594098517671227455e-03
6.168946666666666715e+04 2.529980656173511591e+02 2.573159064314561988e+02 9.951901120075490326e-06 1.586317550390958786e-03
6.149166666666666424e+04 2.527604849394149369e+02 2.574317963306878028e+02 9.951901120075490326e-06 1.537056174129247665e-03
6.129438333333333139e+04 2.525573767361254909e+02 2.570510019667444226e+02 9.951901120075490326e-06 1.565212383866310120e-03
6.109616666666666424e+04 2.524063995110763017e+02 2.574273003619370002e+02 9.951901120075490326e-06 1.447161659598350525e-03
6.089836666666666861e+04 2.521467709323726467e+02 2.574008001219685298e+02 9.951901120075490326e-06 1.430285396054387093e-03
6.070284999999999854e+04 2.519293290544492265e+02 2.576034991008473867e+02 9.951901120075490326e-06 1.413013320416212082e-03
6.050625000000000000e+04 2.517517748843344236e+02 2.572763521511631666e+02 9.951901120075490326e-06 1.375018851831555367e-03
6.031005000000000291e+04 2.515756723059384683e+02 2.569067084725691075e+02 9.951901120075490326e-06 1.334131462499499321e-03
6.011568333333333430e+04 2.513425267200833844e+02 2.571092814144806766e+02 9.951901120075490326e-06 1.317606074735522270e-03
5.992044999999999709e+04 2.512072597140599726e+02 2.573370064879450183e+02 9.951901120075490326e-06 1.321467570960521698e-03
5.972673333333332994e+04 2.510575704111543018e+02 2.569365972599349561e+02 9.951901120075490326e-06 1.286041457206010818e-03
5.953368333333333430e+04 2.508702756166384518e+02 2.568945381936537160e+02 9.951901120075490326e-06 1.243287697434425354e-03
5.934006666666666570e+04 2.507394685662364964e+02 2.568234034623390585e+02 9.951901120075490326e-06 1.247901469469070435e-03
